Date,SKEW
2015-08-14,119.37
2015-08-13,119.96
2015-08-12,119.97
2015-08-11,124.37
2015-08-10,121.54
2015-08-07,117.82
2015-08-06,126.09
2015-08-05,119.1
2015-08-04,119.79
2015-08-03,119.32
2015-07-31,124.2
2015-07-30,122.06
2015-07-29,121.03
2015-07-28,123.52
2015-07-27,126.67
2015-07-24,126.32
2015-07-23,123.18
2015-07-22,130.42
2015-07-21,124.9
2015-07-20,125.06
2015-07-17,127.91
2015-07-16,124.67
2015-07-15,123.06
2015-07-14,123.11
2015-07-13,121.57
2015-07-10,118.52
2015-07-09,120.34
2015-07-08,118.25
2015-07-07,117.37
2015-07-06,118.68
2015-07-02,121.52
2015-07-01,120.14
2015-06-30,123.88
2015-06-29,124.54
2015-06-26,123.07
2015-06-25,122.68
2015-06-24,119.52
2015-06-23,122.78
2015-06-22,120.52
2015-06-19,119.5
2015-06-18,120.17
2015-06-17,119.09
2015-06-16,120.23
2015-06-15,119.25
2015-06-12,119.26
2015-06-11,125.32
2015-06-10,120.83
2015-06-09,119.4
2015-06-08,118.33
2015-06-05,119.62
2015-06-04,121.98
2015-06-03,124.59
2015-06-02,121.17
2015-06-01,122.43
2015-05-29,122.5
2015-05-28,125.37
2015-05-27,123.6
2015-05-26,123.06
2015-05-22,124.86
2015-05-21,121.11
2015-05-20,125.01
2015-05-19,126.28
2015-05-18,126.91
2015-05-15,127.56
2015-05-14,127.63
2015-05-13,126.04
2015-05-12,123.92
2015-05-11,115.96
2015-05-08,122.93
2015-05-07,120.73
2015-05-06,119.74
2015-05-05,122.22
2015-05-04,121.68
2015-05-01,122.37
2015-04-30,115.96
2015-04-29,125.36
2015-04-28,124.02
2015-04-27,122.84
2015-04-24,119.95
2015-04-23,123.26
2015-04-22,124.07
2015-04-21,122.77
2015-04-20,124.16
2015-04-17,122.24
2015-04-16,120.37
2015-04-15,119.71
2015-04-14,123.64
2015-04-13,117.46
2015-04-10,127.22
2015-04-09,125.87
2015-04-08,124.24
2015-04-07,121.34
2015-04-06,120.05
2015-04-03,119.92
2015-04-02,119.92
2015-04-01,120.76
2015-03-31,120.35
2015-03-30,122.69
2015-03-27,121.8
2015-03-26,122.86
2015-03-25,122.96
2015-03-24,126.82
2015-03-23,127.12
2015-03-20,131.09
2015-03-19,127.95
2015-03-18,128.51
2015-03-17,125.44
2015-03-16,122.83
2015-03-13,120.6
2015-03-12,121.53
2015-03-11,123.72
2015-03-10,123.53
2015-03-09,124.16
2015-03-06,124.65
2015-03-05,127.26
2015-03-04,127.89
2015-03-03,123.09
2015-03-02,126.01
2015-02-27,126.4
2015-02-26,126.2
2015-02-25,136.33
2015-02-24,136.26
2015-02-23,134.66
2015-02-20,125.24
2015-02-19,131.3
2015-02-18,127.42
2015-02-17,127.42
2015-02-13,126.04
2015-02-12,129.95
2015-02-11,128.39
2015-02-10,126.51
2015-02-09,129.85
2015-02-06,125.62
2015-02-05,127.54
2015-02-04,126.2
2015-02-03,129.78
2015-02-02,129.98
2015-01-30,125.36
2015-01-29,130.45
2015-01-28,123.76
2015-01-27,128.43
2015-01-26,135.02
2015-01-23,132.09
2015-01-22,139.13
2015-01-21,134.3
2015-01-20,123.63
2015-01-16,131.39
2015-01-15,120.77
2015-01-14,132.66
2015-01-13,122.2
2015-01-12,121.09
2015-01-09,121.69
2015-01-08,124.77
2015-01-07,123.56
2015-01-06,125.27
